,Community Area,Date,ASSAULT_Arrest,BATTERY_Arrest,CRIMINAL DAMAGE_Arrest,THEFT_Arrest,ASSAULT_Count,BATTERY_Count,CRIMINAL DAMAGE_Count,THEFT_Count,ASSAULT_Domestic,BATTERY_Domestic,CRIMINAL DAMAGE_Domestic,THEFT_Domestic
1262,11.0,2016-03-31,0,3,0,3,4,11,11,18,0,6,0,0
1263,11.0,2016-04-30,2,0,3,1,8,3,13,22,2,0,0,0
1264,11.0,2016-05-31,1,1,0,0,7,9,14,17,0,7,0,0
1265,11.0,2016-06-30,1,5,0,2,7,19,8,14,0,11,0,0
1266,11.0,2016-07-31,2,3,1,4,6,11,16,21,0,4,1,0
1267,11.0,2016-08-31,2,3,0,2,8,14,10,38,3,11,3,2
1268,11.0,2016-09-30,1,4,0,1,7,17,8,29,2,8,1,1
1269,11.0,2016-10-31,1,3,0,1,8,16,17,31,3,9,1,0
1270,11.0,2016-11-30,1,1,1,1,9,12,15,37,4,9,2,1
1271,11.0,2016-12-31,3,3,0,0,5,14,6,16,2,8,0,1
1272,11.0,2017-01-31,1,1,0,0,8,11,11,18,1,7,0,0
1273,11.0,2017-02-28,2,3,0,2,6,13,10,22,1,7,0,0
1274,11.0,2017-03-31,0,2,1,3,3,18,10,25,0,10,1,3
1275,11.0,2017-04-30,0,2,0,5,6,13,9,24,3,11,1,0
1276,11.0,2017-05-31,0,2,1,1,6,15,15,26,1,9,1,1
1277,11.0,2017-06-30,1,3,0,2,7,12,6,33,0,7,1,0
1278,11.0,2017-07-31,1,6,1,5,5,16,17,24,2,10,2,0
1279,11.0,2017-08-31,1,2,0,0,9,7,12,19,4,3,1,1
1280,11.0,2017-09-30,1,3,0,0,7,11,10,19,2,8,0,1
1281,11.0,2017-10-31,0,2,2,0,2,16,12,11,0,9,0,0
1282,11.0,2017-11-30,1,1,0,0,7,8,9,15,1,5,0,0
1283,11.0,2017-12-31,0,4,0,0,4,16,9,29,2,11,0,0
1284,11.0,2018-01-31,0,3,0,2,8,16,9,28,3,10,0,1
1285,11.0,2018-02-28,1,2,1,1,4,12,10,16,2,8,1,0
1286,11.0,2018-03-31,1,4,1,2,9,19,11,27,0,13,0,1
1287,11.0,2018-04-30,0,3,0,2,10,12,12,19,4,7,0,0
1288,11.0,2018-05-31,3,5,0,0,8,14,15,20,1,8,0,0
1289,11.0,2018-06-30,2,1,2,0,13,13,14,28,3,8,1,0
1290,11.0,2018-07-31,0,2,1,1,4,15,12,27,0,7,0,0
1291,11.0,2018-08-31,0,5,0,0,8,13,6,21,4,9,0,0
1292,11.0,2018-09-30,1,2,2,2,6,11,10,26,1,3,2,0
1293,11.0,2018-10-31,0,4,0,0,4,12,10,22,0,7,1,0
1294,11.0,2018-11-30,1,1,0,2,6,6,10,30,2,5,1,2
1295,11.0,2018-12-31,0,5,0,1,9,16,13,28,0,12,0,0
1296,11.0,2019-01-31,1,4,0,0,6,14,9,13,3,6,1,1
1297,11.0,2019-02-28,1,1,1,4,6,8,6,17,2,5,0,0
1298,11.0,2019-03-31,2,4,1,2,2,12,13,22,1,6,2,0
1299,11.0,2019-04-30,0,6,2,2,7,17,13,30,3,12,0,0
1300,11.0,2019-05-31,1,2,0,1,9,11,13,20,1,8,1,0
1301,11.0,2019-06-30,0,4,2,1,3,20,15,28,0,14,2,0
1302,11.0,2019-07-31,2,5,4,1,9,11,9,28,1,5,1,1
1303,11.0,2019-08-31,0,2,0,4,8,10,9,33,2,8,1,0
1304,11.0,2019-09-30,0,7,0,0,3,22,6,13,1,11,2,0
1305,11.0,2019-10-31,2,4,1,0,9,7,6,13,6,5,0,1
1306,11.0,2019-11-30,0,3,0,1,1,13,10,18,0,11,0,0
1307,11.0,2019-12-31,2,3,0,1,4,11,4,28,0,7,1,1
1308,11.0,2020-01-31,2,2,1,0,5,17,9,16,0,11,0,1
1309,11.0,2020-02-29,0,4,2,1,6,14,5,14,0,7,1,0
1310,11.0,2020-03-31,0,1,0,0,5,15,7,15,1,11,1,0
1311,11.0,2020-04-30,2,0,1,1,6,8,6,22,1,6,1,0
1312,11.0,2020-05-31,0,2,0,0,6,11,5,14,1,7,0,0
1313,11.0,2020-06-30,0,3,1,0,2,14,11,17,1,10,1,0
1314,11.0,2020-07-31,0,5,5,2,6,11,11,26,1,7,1,0
1315,11.0,2020-08-31,1,5,0,3,10,10,9,38,5,6,0,0
1316,11.0,2020-09-30,2,6,0,1,8,16,10,22,5,7,0,1
1317,11.0,2020-10-31,1,3,0,0,5,10,7,23,2,6,0,0
1318,11.0,2020-11-30,3,2,1,0,9,19,11,13,0,9,2,1
1319,11.0,2020-12-31,5,1,1,0,10,10,7,25,2,6,3,1
1320,11.0,2021-01-31,2,2,0,0,5,10,5,11,2,6,1,0
1321,11.0,2021-02-28,0,3,0,0,5,7,6,10,2,5,0,0
1322,11.0,2021-03-31,3,1,0,0,8,11,10,11,2,8,2,0
1323,11.0,2021-04-30,1,1,0,0,4,10,6,13,2,5,0,0
1324,11.0,2021-05-31,1,2,0,0,4,6,6,12,1,3,0,0
1325,11.0,2021-06-30,2,5,1,0,5,11,8,20,2,6,0,0
1326,11.0,2021-07-31,1,3,0,0,8,12,13,14,1,7,1,0
1327,11.0,2021-08-31,0,2,1,0,6,10,15,22,1,7,0,0
1328,11.0,2021-09-30,0,4,0,0,7,17,7,24,4,7,0,0
1329,11.0,2021-10-31,1,3,2,0,7,17,11,20,2,13,1,0
1330,11.0,2021-11-30,2,0,1,0,6,7,6,14,1,6,2,0
1331,11.0,2021-12-31,0,3,0,0,3,7,5,15,1,4,1,0
1332,11.0,2022-01-31,0,2,0,0,6,11,5,18,3,9,3,1
1333,11.0,2022-02-28,1,2,1,1,3,8,5,25,1,5,0,0
1334,11.0,2022-03-31,1,4,0,1,5,10,10,17,0,6,1,0
1335,11.0,2022-04-30,0,1,0,1,6,13,10,14,0,9,1,0
1336,11.0,2022-05-31,3,2,1,0,9,13,8,19,2,7,1,1
1337,11.0,2022-06-30,0,0,2,0,5,15,6,26,2,7,0,1
1338,11.0,2022-07-31,0,9,2,0,1,19,13,40,0,10,1,0
1339,11.0,2022-08-31,1,1,2,2,9,17,11,26,5,10,0,0
1340,11.0,2022-09-30,0,2,2,0,4,17,11,20,0,15,3,1
1341,11.0,2022-10-31,0,3,1,0,10,13,8,44,2,8,0,0
1342,11.0,2022-11-30,1,1,0,0,8,9,5,18,2,3,0,0
1343,11.0,2022-12-31,1,4,0,0,9,14,12,17,1,6,2,0
1344,11.0,2023-01-31,1,3,1,0,9,13,10,9,2,8,0,0
1345,11.0,2023-02-28,1,2,1,0,3,11,12,14,2,7,0,0
1346,11.0,2023-03-31,1,1,1,0,4,10,14,23,0,4,0,1
1347,11.0,2023-04-30,0,2,0,0,5,17,5,21,2,11,1,0
1348,11.0,2023-05-31,2,3,1,3,10,18,11,27,5,7,0,0
1349,11.0,2023-06-30,1,5,0,1,12,22,16,36,1,16,1,1
1350,11.0,2023-07-31,0,5,0,0,11,14,12,27,4,4,0,0
1351,11.0,2023-08-31,0,2,1,0,13,16,9,35,0,11,1,1
1352,11.0,2023-09-30,0,1,1,0,6,12,7,31,1,9,2,0
1353,11.0,2023-10-31,1,4,1,0,6,17,17,32,1,10,4,0
1354,11.0,2023-11-30,0,1,1,0,3,10,15,22,1,5,0,0
1355,11.0,2023-12-31,0,1,0,0,7,11,10,31,2,7,0,0
1356,11.0,2024-01-31,1,4,0,3,5,10,3,21,0,5,1,0
1357,11.0,2024-02-29,2,2,1,1,5,12,13,18,0,2,1,0
1358,11.0,2024-03-31,0,1,0,3,4,14,15,35,1,8,0,0
1359,11.0,2024-04-30,2,4,1,0,9,22,10,15,2,10,1,1
1360,11.0,2024-05-31,1,1,1,0,8,16,8,14,0,9,0,1
1361,11.0,2024-06-30,1,1,0,1,5,11,8,26,1,4,0,1
1362,11.0,2024-07-31,1,2,0,3,7,18,6,28,0,12,0,1
1363,11.0,2024-08-31,1,6,1,0,9,17,10,22,1,10,0,0
1364,11.0,2024-09-30,0,2,0,2,5,14,10,13,2,11,1,0
1365,11.0,2024-10-31,0,5,0,2,7,20,2,21,0,8,0,1
1366,11.0,2024-11-30,1,2,1,0,7,12,10,13,2,8,0,0
1367,11.0,2024-12-31,0,5,0,1,6,18,9,19,3,11,0,1
1368,11.0,2025-01-31,1,2,2,0,1,11,8,12,1,7,0,0
1369,11.0,2025-02-28,1,4,0,2,6,9,9,15,3,4,0,1
1370,11.0,2025-03-31,2,1,0,1,10,5,12,11,3,2,0,0
1371,11.0,2025-04-30,1,1,0,0,5,15,9,8,0,9,0,0
1372,11.0,2025-05-31,1,1,2,0,9,10,17,14,2,3,0,0
1373,11.0,2025-06-30,1,5,0,1,4,21,9,7,1,8,0,1
1374,11.0,2025-07-31,3,6,1,0,6,15,12,17,2,8,0,0
1375,11.0,2025-08-31,1,3,1,2,8,23,12,12,2,12,0,0
1376,11.0,2025-09-30,1,4,0,0,4,20,5,14,0,8,0,0
1377,11.0,2025-10-31,5,5,0,0,11,7,12,17,3,5,1,0
1378,11.0,2025-11-30,3,5,1,1,9,23,7,12,2,11,1,0
1379,11.0,2025-12-31,2,2,1,1,10,9,7,7,5,2,2,0
1380,11.0,2026-01-31,1,5,0,1,4,14,5,10,1,9,0,0
1381,11.0,2026-02-28,1,3,0,1,5,6,5,16,1,3,1,1
1382,11.0,2026-03-31,2,3,1,0,6,11,8,16,1,3,1,1
1383,11.0,2026-04-30,1,3,1,3,4,7,7,13,0,3,0,1
1384,11.0,2026-05-31,1,6,0,1,7,19,6,14,2,8,2,1
1385,11.0,2026-06-30,1,2,0,0,7,15,7,13,3,7,1,0
1386,12.0,2016-01-31,0,0,0,0,2,2,7,15,2,2,0,0
1387,12.0,2016-02-29,0,0,0,1,3,3,5,6,1,1,0,0
1388,12.0,2016-03-31,1,3,1,0,4,10,3,7,1,6,0,0
1389,12.0,2016-04-30,1,0,0,1,4,0,5,7,1,0,0,1
1390,12.0,2016-05-31,0,2,0,0,1,8,11,8,0,4,0,0
1391,12.0,2016-06-30,1,0,0,1,3,6,9,17,1,4,1,0
1392,12.0,2016-07-31,0,3,1,2,1,9,6,13,0,7,0,0
1393,12.0,2016-08-31,0,0,0,2,4,7,6,16,1,6,0,2
1394,12.0,2016-09-30,1,0,0,3,2,1,6,17,1,0,0,1
1395,12.0,2016-10-31,0,0,0,0,1,5,5,15,0,3,1,1
1396,12.0,2016-11-30,0,3,1,0,3,6,6,14,0,2,0,0
1397,12.0,2016-12-31,1,0,0,0,5,4,4,11,1,4,0,0
1398,12.0,2017-01-31,0,1,0,1,3,4,5,9,0,3,0,0
1399,12.0,2017-02-28,0,0,0,0,2,2,3,4,1,2,0,0
1400,12.0,2017-03-31,0,0,0,2,2,3,3,12,1,3,0,0
1401,12.0,2017-04-30,0,0,0,1,1,4,4,19,0,3,0,0
1402,12.0,2017-05-31,0,1,0,2,6,2,9,22,1,2,1,0
1403,12.0,2017-06-30,1,0,0,0,3,8,4,11,1,6,0,0
1404,12.0,2017-07-31,0,1,0,1,1,7,3,13,1,4,1,0
1405,12.0,2017-08-31,0,1,0,1,4,3,5,16,0,1,0,0
1406,12.0,2017-09-30,1,0,0,0,8,6,8,12,2,3,2,1
1407,12.0,2017-10-31,0,1,1,1,1,3,3,14,0,2,0,0
1408,12.0,2017-11-30,0,0,0,0,3,4,2,15,0,2,1,0
1409,12.0,2017-12-31,0,1,0,0,4,4,10,11,1,2,0,0
1410,12.0,2018-01-31,1,0,1,0,3,4,3,10,1,4,0,0
1411,12.0,2018-02-28,0,1,1,0,1,5,4,3,1,3,1,0
1412,12.0,2018-03-31,0,0,0,2,2,3,2,23,1,2,0,0
1413,12.0,2018-04-30,0,1,0,0,1,2,2,7,0,0,0,0
1414,12.0,2018-05-31,2,0,1,1,6,3,6,11,2,3,0,0
1415,12.0,2018-06-30,1,1,0,0,2,4,2,9,1,3,0,0
1416,12.0,2018-07-31,1,1,0,0,2,4,3,14,1,2,0,0
1417,12.0,2018-08-31,0,1,0,2,2,3,1,19,0,3,0,0
1418,12.0,2018-09-30,0,1,0,1,1,4,7,12,0,2,0,0
1419,12.0,2018-10-31,0,3,0,0,1,5,2,14,1,1,0,0
1420,12.0,2018-11-30,0,0,0,3,2,5,3,14,1,4,0,0
1421,12.0,2018-12-31,0,0,0,1,2,0,9,19,0,0,0,0
1422,12.0,2019-01-31,1,0,0,0,1,4,4,13,0,3,0,0
1423,12.0,2019-02-28,0,2,0,2,3,5,3,12,0,3,0,0
1424,12.0,2019-03-31,0,0,0,0,0,6,2,10,0,5,0,0
1425,12.0,2019-04-30,2,0,2,0,6,7,8,10,4,5,1,0
1426,12.0,2019-05-31,0,2,0,0,1,5,3,21,1,3,0,0
1427,12.0,2019-06-30,0,2,0,0,3,5,5,10,1,0,0,0
1428,12.0,2019-07-31,1,1,0,0,4,6,6,8,1,2,0,1
1429,12.0,2019-08-31,1,2,0,0,6,8,4,6,1,3,0,0
1430,12.0,2019-09-30,0,0,0,0,3,4,2,9,0,4,0,0
1431,12.0,2019-10-31,0,1,0,0,3,7,1,4,0,5,0,0
1432,12.0,2019-11-30,0,0,0,0,1,2,2,7,0,0,0,0
1433,12.0,2019-12-31,0,1,1,1,1,4,4,11,1,3,0,0
1434,12.0,2020-01-31,0,1,0,0,0,2,4,8,0,0,1,0
1435,12.0,2020-02-29,0,0,0,1,2,7,4,15,0,5,0,2
1436,12.0,2020-03-31,1,1,1,0,4,9,4,8,1,7,1,0
1437,12.0,2020-04-30,0,2,0,0,4,3,5,5,1,1,2,0
1438,12.0,2020-05-31,1,1,0,0,9,6,3,8,2,4,0,0
1439,12.0,2020-06-30,0,0,0,0,2,6,9,6,0,3,0,0
1440,12.0,2020-07-31,0,1,0,0,1,8,6,16,0,2,0,0
1441,12.0,2020-08-31,1,1,0,0,6,3,7,12,0,3,2,1
1442,12.0,2020-09-30,0,2,0,0,9,3,8,8,2,2,0,0
1443,12.0,2020-10-31,0,1,0,0,4,4,8,4,1,3,0,0
1444,12.0,2020-11-30,0,0,0,0,3,3,4,11,1,1,3,0
1445,12.0,2020-12-31,0,0,0,0,3,1,5,4,1,0,0,0
1446,12.0,2021-01-31,0,2,0,0,1,4,3,7,0,2,1,1
1447,12.0,2021-02-28,0,0,0,0,3,4,0,4,0,3,0,0
1448,12.0,2021-03-31,0,0,0,0,1,5,2,2,1,3,0,0
1449,12.0,2021-04-30,0,0,0,0,1,1,2,8,1,1,0,0
1450,12.0,2021-05-31,0,2,1,1,2,6,4,15,1,3,0,0
1451,12.0,2021-06-30,1,0,0,0,6,6,9,10,1,3,0,0
1452,12.0,2021-07-31,0,0,0,1,1,5,2,17,0,2,0,0
1453,12.0,2021-08-31,0,0,0,0,3,4,3,6,0,3,0,0
1454,12.0,2021-09-30,1,0,0,0,5,4,4,10,2,2,0,0
1455,12.0,2021-10-31,1,0,0,0,2,5,3,4,0,2,0,0
1456,12.0,2021-11-30,0,0,0,0,4,6,4,8,2,5,0,0
1457,12.0,2021-12-31,0,1,0,0,1,9,8,5,0,6,1,0
1458,12.0,2022-01-31,1,0,0,0,2,6,4,2,1,3,0,0
1459,12.0,2022-02-28,0,1,0,0,2,4,3,12,0,2,0,0
1460,12.0,2022-03-31,1,1,0,1,4,5,1,11,2,2,0,0
1461,12.0,2022-04-30,0,1,0,0,6,5,0,7,2,3,0,0
1462,12.0,2022-05-31,1,2,0,1,3,7,3,12,1,5,0,1
1463,12.0,2022-06-30,0,0,0,0,7,1,9,11,0,0,2,0
1464,12.0,2022-07-31,0,1,0,0,4,5,7,14,0,4,0,0
1465,12.0,2022-08-31,0,0,0,0,3,4,7,7,0,2,0,0
1466,12.0,2022-09-30,0,0,0,0,2,3,6,12,0,2,0,1
1467,12.0,2022-10-31,0,1,0,0,2,7,14,18,0,4,1,0
1468,12.0,2022-11-30,0,0,1,0,1,0,8,17,0,0,1,0
1469,12.0,2022-12-31,1,0,0,0,5,2,6,16,1,1,0,0
1470,12.0,2023-01-31,0,1,0,0,1,6,4,14,0,6,0,0
1471,12.0,2023-02-28,0,0,0,0,1,3,4,12,0,1,1,1
1472,12.0,2023-03-31,0,1,1,0,1,4,7,7,0,4,1,0
1473,12.0,2023-04-30,0,0,0,1,1,4,5,9,0,2,1,0
1474,12.0,2023-05-31,1,0,0,0,6,4,3,12,2,2,0,0
1475,12.0,2023-06-30,2,0,0,0,3,4,6,10,0,2,1,0
1476,12.0,2023-07-31,2,2,0,0,6,4,6,14,2,1,2,0
1477,12.0,2023-08-31,1,0,0,0,4,2,5,13,1,1,0,0
1478,12.0,2023-09-30,0,0,0,0,5,4,4,12,1,3,1,0
1479,12.0,2023-10-31,0,1,0,1,2,4,5,18,0,2,1,1
1480,12.0,2023-11-30,0,1,0,0,2,3,3,10,1,1,0,0
1481,12.0,2023-12-31,0,0,0,0,1,3,2,21,0,2,1,1
1482,12.0,2024-01-31,0,2,0,0,3,5,3,5,0,3,0,0
1483,12.0,2024-02-29,0,1,0,0,0,6,4,12,0,4,0,0
1484,12.0,2024-03-31,1,0,1,0,1,1,3,15,0,0,0,0
1485,12.0,2024-04-30,0,4,0,1,4,6,5,10,0,6,0,0
1486,12.0,2024-05-31,0,1,0,0,0,6,5,13,0,5,0,0
1487,12.0,2024-06-30,0,0,0,0,1,4,11,19,0,2,1,0
1488,12.0,2024-07-31,0,0,0,0,1,5,9,11,1,4,0,1
1489,12.0,2024-08-31,1,0,0,0,5,3,4,16,1,2,0,0
1490,12.0,2024-09-30,0,1,1,0,3,6,1,9,1,4,0,0
1491,12.0,2024-10-31,0,1,0,0,5,5,4,12,2,4,0,0
1492,12.0,2024-11-30,1,0,0,0,1,8,5,6,0,2,0,0
1493,12.0,2024-12-31,0,1,0,0,1,3,5,19,1,1,0,0
1494,12.0,2025-01-31,1,1,0,0,3,5,3,11,1,3,0,1
1495,12.0,2025-02-28,0,1,0,0,4,4,0,3,0,1,0,0
1496,12.0,2025-03-31,0,2,0,0,0,5,2,9,0,3,0,0
1497,12.0,2025-04-30,0,0,0,0,1,2,5,7,1,2,1,0
1498,12.0,2025-05-31,0,0,0,0,3,2,2,8,2,1,0,0
1499,12.0,2025-06-30,1,1,0,0,4,6,5,9,0,2,1,1
1500,12.0,2025-07-31,0,0,0,0,0,4,4,7,0,3,0,0
1501,12.0,2025-08-31,0,2,0,0,1,6,3,9,0,5,1,0
1502,12.0,2025-09-30,0,1,0,0,1,5,7,3,1,4,0,0
1503,12.0,2025-10-31,0,2,0,1,4,5,2,8,1,4,0,0
1504,12.0,2025-11-30,0,1,1,1,0,6,4,13,0,5,0,0
1505,12.0,2025-12-31,1,1,0,0,2,2,1,5,1,1,0,0
1506,12.0,2026-01-31,0,1,0,0,0,4,5,8,0,3,0,1
1507,12.0,2026-02-28,0,2,0,0,0,7,2,5,0,5,1,1
1508,12.0,2026-03-31,0,0,0,0,4,2,1,3,1,1,0,0
1509,12.0,2026-04-30,0,2,0,1,1,6,2,4,1,6,0,0
1510,12.0,2026-05-31,0,0,0,0,2,6,3,2,0,4,0,0
1511,12.0,2026-06-30,2,1,0,0,6,7,2,8,1,6,0,0
1512,13.0,2016-01-31,1,4,0,5,4,8,7,15,1,2,0,0
1513,13.0,2016-02-29,0,1,1,7,6,15,13,25,2,7,0,0
1514,13.0,2016-03-31,0,0,0,7,4,14,6,32,0,2,1,1
1515,13.0,2016-04-30,1,2,0,6,2,14,5,28,1,7,0,0
1516,13.0,2016-05-31,0,4,0,3,5,14,15,23,0,8,1,1
1517,13.0,2016-06-30,0,0,0,12,3,13,8,25,0,6,1,0
1518,13.0,2016-07-31,2,1,0,4,4,6,10,18,1,3,1,0
1519,13.0,2016-08-31,0,1,0,3,9,7,16,29,2,5,1,0
1520,13.0,2016-09-30,0,3,0,2,3,11,4,28,1,9,0,0
1521,13.0,2016-10-31,0,1,0,9,6,10,9,32,1,3,0,1
1522,13.0,2016-11-30,0,2,1,6,2,8,8,21,1,4,1,0
1523,13.0,2016-12-31,0,3,0,2,2,10,13,30,1,5,1,0
1524,13.0,2017-01-31,1,0,0,5,3,8,6,26,0,4,0,0
1525,13.0,2017-02-28,0,2,0,4,2,10,11,34,1,5,0,0
1526,13.0,2017-03-31,2,0,0,3,8,9,9,20,1,4,2,1
1527,13.0,2017-04-30,0,2,0,8,2,16,8,30,0,8,1,0
1528,13.0,2017-05-31,0,2,0,3,4,6,8,25,1,1,0,1
1529,13.0,2017-06-30,2,3,0,3,10,12,13,21,3,5,0,0
1530,13.0,2017-07-31,1,0,0,3,1,8,7,25,0,7,0,0
1531,13.0,2017-08-31,4,4,0,1,7,15,7,20,2,9,2,1
1532,13.0,2017-09-30,1,1,1,4,6,13,8,23,2,5,0,0
1533,13.0,2017-10-31,1,4,0,1,3,18,7,44,2,9,1,0
1534,13.0,2017-11-30,2,3,0,4,5,12,3,36,1,6,0,0
1535,13.0,2017-12-31,0,1,0,1,3,8,12,19,1,5,0,0
1536,13.0,2018-01-31,0,0,0,3,1,10,7,25,0,5,0,0
1537,13.0,2018-02-28,0,4,0,2,3,11,4,21,0,5,0,0
1538,13.0,2018-03-31,0,0,0,6,2,10,4,31,0,6,2,0
1539,13.0,2018-04-30,0,2,1,3,4,10,10,32,2,4,1,0
1540,13.0,2018-05-31,0,6,1,2,2,11,14,26,0,8,1,1
1541,13.0,2018-06-30,0,5,1,9,3,14,11,40,2,7,0,0
1542,13.0,2018-07-31,0,1,0,1,7,11,6,19,1,5,1,1
1543,13.0,2018-08-31,0,2,0,1,4,12,10,25,1,3,1,0
1544,13.0,2018-09-30,0,1,0,5,4,17,6,16,0,6,0,0
1545,13.0,2018-10-31,0,2,1,3,6,9,24,23,3,7,0,0
1546,13.0,2018-11-30,0,2,0,2,10,9,9,26,1,2,0,1
1547,13.0,2018-12-31,0,1,0,2,7,6,9,21,1,3,0,1
1548,13.0,2019-01-31,0,1,0,2,3,9,3,18,2,5,0,0
1549,13.0,2019-02-28,1,2,1,2,9,14,4,21,4,7,0,0
1550,13.0,2019-03-31,0,1,0,1,3,11,9,14,1,6,0,0
1551,13.0,2019-04-30,0,2,0,0,4,6,6,16,1,4,1,0
1552,13.0,2019-05-31,0,1,0,0,7,15,3,19,2,6,0,0
1553,13.0,2019-06-30,0,1,0,2,6,8,9,17,0,2,2,0
1554,13.0,2019-07-31,0,0,0,4,4,12,3,24,0,7,0,0
1555,13.0,2019-08-31,1,4,0,0,5,15,7,25,1,3,0,1
1556,13.0,2019-09-30,0,1,0,1,2,13,7,25,0,7,0,1
1557,13.0,2019-10-31,0,4,0,0,7,13,9,16,2,9,0,0
1558,13.0,2019-11-30,0,1,0,1,4,9,7,19,1,5,1,2
1559,13.0,2019-12-31,1,1,0,1,5,11,6,16,1,5,0,0
1560,13.0,2020-01-31,1,1,0,4,5,9,7,25,3,6,0,0
1561,13.0,2020-02-29,1,1,0,2,5,6,7,12,1,2,1,1
1562,13.0,2020-03-31,0,0,0,5,6,15,9,24,1,5,0,1
1563,13.0,2020-04-30,0,0,0,0,4,14,3,20,2,9,0,0
1564,13.0,2020-05-31,0,1,0,0,2,7,9,17,0,4,0,0
1565,13.0,2020-06-30,0,1,0,0,4,14,8,11,1,9,0,1
1566,13.0,2020-07-31,0,2,0,2,6,6,9,13,1,5,0,0
1567,13.0,2020-08-31,0,1,0,0,4,10,10,19,2,7,0,0
1568,13.0,2020-09-30,0,0,0,1,5,9,21,18,0,3,0,1
1569,13.0,2020-10-31,0,1,0,3,9,8,12,24,0,5,0,0
1570,13.0,2020-11-30,0,0,0,0,5,5,8,16,1,2,0,0
1571,13.0,2020-12-31,0,1,0,1,5,4,6,15,1,1,0,0
1572,13.0,2021-01-31,0,0,1,3,2,4,6,9,1,3,0,0
1573,13.0,2021-02-28,0,1,0,2,6,10,3,13,0,9,1,0
1574,13.0,2021-03-31,0,1,0,2,4,8,5,15,0,6,0,0
1575,13.0,2021-04-30,1,1,0,0,4,6,5,13,2,2,0,0
1576,13.0,2021-05-31,0,0,0,1,8,10,9,13,0,7,0,0
1577,13.0,2021-06-30,2,1,0,0,11,6,7,13,4,3,1,0
1578,13.0,2021-07-31,0,1,1,1,3,8,7,18,1,4,1,1
1579,13.0,2021-08-31,0,1,0,1,5,17,11,18,1,10,1,1
1580,13.0,2021-09-30,0,2,0,1,4,10,4,15,0,3,0,1
1581,13.0,2021-10-31,0,0,0,0,4,12,7,18,2,4,0,1
1582,13.0,2021-11-30,0,0,0,2,7,3,7,20,0,1,0,0
1583,13.0,2021-12-31,0,2,0,2,3,9,6,11,1,5,0,0
1584,13.0,2022-01-31,1,0,2,0,4,9,7,8,3,6,1,0
1585,13.0,2022-02-28,0,0,0,3,5,13,4,32,0,3,0,1
1586,13.0,2022-03-31,0,1,0,1,5,13,9,14,0,7,1,2
1587,13.0,2022-04-30,1,0,7,4,13,10,14,21,5,7,0,0
1588,13.0,2022-05-31,0,2,0,2,5,18,13,14,0,8,2,0
1589,13.0,2022-06-30,1,6,0,3,12,19,13,22,1,10,1,0
1590,13.0,2022-07-31,0,1,1,1,4,14,3,22,0,5,0,1
1591,13.0,2022-08-31,1,0,0,1,12,19,11,31,2,5,1,1
1592,13.0,2022-09-30,0,2,0,1,2,14,6,31,0,6,0,2
1593,13.0,2022-10-31,1,2,0,1,6,8,10,30,0,5,0,0
1594,13.0,2022-11-30,1,2,0,0,10,12,12,18,1,7,2,0
1595,13.0,2022-12-31,1,3,0,1,4,13,7,15,0,4,0,0
1596,13.0,2023-01-31,0,0,0,0,6,8,5,16,0,4,0,0
1597,13.0,2023-02-28,2,2,0,1,6,8,5,13,1,4,0,0
1598,13.0,2023-03-31,0,1,0,1,4,11,6,18,1,7,1,0
1599,13.0,2023-04-30,0,3,0,0,4,15,2,23,0,6,0,0
1600,13.0,2023-05-31,1,0,0,0,5,16,7,19,2,8,1,1
1601,13.0,2023-06-30,0,3,0,0,9,17,7,17,4,12,1,0
1602,13.0,2023-07-31,4,0,0,0,9,17,5,16,2,13,1,0
1603,13.0,2023-08-31,3,2,0,1,10,14,11,21,4,7,1,1
1604,13.0,2023-09-30,0,1,0,0,7,20,4,18,0,11,1,0
1605,13.0,2023-10-31,3,1,0,2,10,13,6,28,0,9,1,0
1606,13.0,2023-11-30,2,1,0,0,7,15,14,22,1,11,1,0
1607,13.0,2023-12-31,0,2,0,2,3,8,13,22,2,5,1,0
1608,13.0,2024-01-31,1,3,2,0,8,13,13,21,4,12,1,1
1609,13.0,2024-02-29,0,3,0,0,11,21,5,17,0,14,1,0
1610,13.0,2024-03-31,1,4,0,2,8,20,6,17,0,13,0,2
1611,13.0,2024-04-30,1,4,0,1,11,21,14,30,0,10,0,0
1612,13.0,2024-05-31,1,4,0,1,8,13,10,26,3,9,0,0
1613,13.0,2024-06-30,0,1,0,0,7,8,10,19,1,6,1,0
1614,13.0,2024-07-31,0,1,0,1,9,16,7,41,1,12,0,0
1615,13.0,2024-08-31,3,1,0,1,6,10,16,34,0,3,1,0
1616,13.0,2024-09-30,0,3,0,0,11,31,9,20,1,20,1,0
1617,13.0,2024-10-31,2,1,1,2,9,15,11,36,0,8,0,1
1618,13.0,2024-11-30,1,4,0,1,4,12,1,31,0,8,0,0
1619,13.0,2024-12-31,1,6,0,0,7,18,2,23,1,13,0,0
1620,13.0,2025-01-31,2,1,0,2,6,10,3,35,1,4,0,1
1621,13.0,2025-02-28,2,3,1,5,2,10,7,31,0,6,2,1
1622,13.0,2025-03-31,0,4,1,2,3,24,4,30,2,11,1,0
1623,13.0,2025-04-30,1,1,1,4,5,15,12,37,2,5,1,0
1624,13.0,2025-05-31,1,3,0,1,6,11,2,19,3,8,1,0
1625,13.0,2025-06-30,0,7,0,1,8,16,8,15,0,11,0,0
